Days_to_Return,Discount_Applied,Is_Returned,Order_Date,Order_ID,Order_Quantity,Payment_Method,Price,Product_Category,Product_ID,Product_Price,Return_Date,Return_Reason,Return_Status,Shipping_Method,Supplier,User_Age,User_Gender,User_ID,User_Location,Category_Return_Rate,Supplier_Return_Rate,Location_Return_Rate
387.0,45.27,1,2023-08-05,ORD00000000,3.0,Debit Card,,Clothing,PROD00000000,411.59,2024-08-26,Changed mind,Returned,Next-Day,,58.0,Male,USER00000000,City54,52.423788105947025,,51.68539325842697
31.0,47.79,1,2023-10-09,ORD00000001,3.0,Credit Card,,Books,PROD00000001,288.88,2023-11-09,Wrong item,Returned,Express,,68.0,Female,USER00000001,City85,50.66144047035767,,55.45454545454545
,26.64,0,2023-05-06,ORD00000002,5.0,Debit Card,,Toys,PROD00000002,390.03,,,Not Returned,Next-Day,,22.0,Female,USER00000002,City30,49.53703703703704,,52.083333333333336
,15.37,0,2024-08-29,ORD00000003,3.0,PayPal,,Toys,PROD00000003,401.09,,,Not Returned,Next-Day,,40.0,Male,USER00000003,City95,49.53703703703704,,55.42168674698795
,16.37,0,2023-01-16,ORD00000004,4.0,Gift Card,,Books,PROD00000004,110.09,,,Not Returned,Standard,,34.0,Female,USER00000004,City80,50.66144047035767,,48.113207547169814
221.0,47.61,1,2024-02-14,ORD00000005,1.0,Debit Card,,Electronics,PROD00000005,252.12,2024-09-22,Defective,Returned,Next-Day,,46.0,Female,USER00000005,City47,50.956696878147035,,54.0
66.0,28.49,1,2023-05-29,ORD00000006,2.0,Credit Card,,Clothing,PROD00000006,382.89,2023-08-03,Wrong item,Returned,Express,,25.0,Male,USER00000006,City50,52.423788105947025,,53.06122448979592
539.0,38.91,1,2023-02-09,ORD00000007,3.0,Credit Card,,Electronics,PROD00000007,306.39,2024-08-01,Not as described,Returned,Express,,67.0,Female,USER00000007,City39,50.956696878147035,,58.65384615384615
-91.0,18.5,1,2024-12-25,ORD00000008,5.0,Debit Card,,Home,PROD00000008,302.4,2024-09-25,Defective,Returned,Standard,,54.0,Male,USER00000008,City81,49.01477832512315,,50.0
317.0,45.21,1,2023-03-10,ORD00000009,3.0,Credit Card,,Clothing,PROD00000009,294.94,2024-01-21,Not as described,Returned,Standard,,44.0,Male,USER00000009,City82,52.423788105947025,,51.9607843137255
,8.72,0,2024-05-26,ORD00000010,2.0,Credit Card,,Toys,PROD00000010,119.0,,,Not Returned,Next-Day,,70.0,Female,USER00000010,City41,49.53703703703704,,41.57303370786517
,0.27,0,2024-02-08,ORD00000011,4.0,Gift Card,,Home,PROD00000011,480.48,,,Not Returned,Next-Day,,54.0,Male,USER00000011,City22,49.01477832512315,,43.103448275862064
,30.26,0,2024-06-07,ORD00000012,3.0,PayPal,,Toys,PROD00000012,216.41,,,Not Returned,Standard,,66.0,Male,USER00000012,City17,49.53703703703704,,44.827586206896555
,36.58,0,2023-07-22,ORD00000013,2.0,PayPal,,Electronics,PROD00000013,198.78,,,Not Returned,Next-Day,,51.0,Male,USER00000013,City85,50.956696878147035,,55.45454545454545
,28.23,0,2024-09-01,ORD00000014,4.0,PayPal,,Electronics,PROD00000014,146.37,,,Not Returned,Next-Day,,45.0,Male,USER00000014,City9,50.956696878147035,,54.65116279069767
-303.0,23.99,1,2024-10-02,ORD00000015,2.0,Credit Card,,Electronics,PROD00000015,370.08,2023-12-04,Wrong item,Returned,Standard,,24.0,Female,USER00000015,City27,50.956696878147035,,50.57471264367817
,6.66,0,2024-05-09,ORD00000016,1.0,PayPal,,Clothing,PROD00000016,311.08,,,Not Returned,Standard,,52.0,Female,USER00000016,City77,52.423788105947025,,50.0
120.0,18.25,1,2023-02-03,ORD00000017,1.0,PayPal,,Electronics,PROD00000017,400.12,2023-06-03,Defective,Returned,Standard,,33.0,Male,USER00000017,City33,50.956696878147035,,47.87234042553192
-569.0,11.84,1,2024-10-07,ORD00000018,1.0,PayPal,,Books,PROD00000018,358.31,2023-03-18,Changed mind,Returned,Standard,,51.0,Female,USER00000018,City43,50.66144047035767,,55.26315789473685
-66.0,43.86,1,2024-07-06,ORD00000019,5.0,Debit Card,,Electronics,PROD00000019,227.94,2024-05-01,Changed mind,Returned,Express,,50.0,Female,USER00000019,City64,50.956696878147035,,51.45631067961165
